station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBGR,2025-01-01 00:00,69.80,66.20,88.34,120.00,3.00,0.00,30.00,M,6.21,M,SCT,BKN,M,M,1300.00,1700.00,M,M,M,M,M,M,M,M,M,69.80,SBGR 010000Z 12003KT 9999 SCT013 BKN017 21/19 Q1016,M
SBAN,2025-01-01 00:00,69.80,68.00,94.01,0.00,0.00,0.00,30.06,M,6.21,M,SCT,FEW,BKN,M,3500.00,4000.00,10000.00,M,M,M,M,M,M,M,M,69.80,SBAN 010000Z 00000KT 9999 SCT035 FEW040TCU BKN100 21/20 Q1018,M
SBGR,2025-01-01 00:06,69.80,66.20,88.34,110.00,3.00,0.00,30.00,M,6.21,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010006Z 11003KT 9999 BKN013 21/19 Q1016,M
SBAN,2025-01-01 01:00,69.80,68.00,94.01,0.00,0.00,0.00,30.06,M,6.21,M,SCT,FEW,BKN,M,2000.00,2500.00,7000.00,M,M,M,M,M,M,M,M,69.80,COR SBAN 010100Z 00000KT 9999 SCT020 FEW025TCU BKN070 21/20 Q1018,M
SBGR,2025-01-01 01:00,69.80,66.20,88.34,100.00,4.00,0.00,30.03,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010100Z 10004KT 9999 BKN010 21/19 Q1017,M
SBGR,2025-01-01 02:00,68.00,66.20,93.97,70.00,6.00,0.00,30.03,M,4.97,M,SCT,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,68.00,SBGR 010200Z 07006KT 8000 SCT009 20/19 Q1017,M
SBAN,2025-01-01 02:00,68.00,68.00,100.00,350.00,3.00,0.00,30.06,M,2.49,M,BKN,SCT,FEW,M,200.00,500.00,2500.00,M,-RA,M,M,M,M,M,M,68.00,SBAN 010200Z 35003KT 4000 -RA BKN002 SCT005 FEW025TCU 20/20 Q1018 RERA,M
SBAN,2025-01-01 03:00,68.00,68.00,100.00,350.00,2.00,0.00,30.06,M,6.21,M,SCT,SCT,M,M,500.00,1000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 010300Z 35002KT 9999 SCT005 SCT010 20/20 Q1018,M
SBGR,2025-01-01 03:00,66.20,64.40,93.92,80.00,6.00,0.00,30.00,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 010300Z 08006KT 9999 BKN009 19/18 Q1016,M
SBGR,2025-01-01 04:00,66.20,64.40,93.92,90.00,3.00,0.00,30.00,M,4.35,M,BKN,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 010400Z 09003KT 7000 BKN007 19/18 Q1016,M
SBAN,2025-01-01 04:00,64.40,64.40,100.00,360.00,2.00,0.00,30.06,M,6.21,M,SCT,BKN,M,M,1200.00,7000.00,M,M,M,M,M,M,M,M,M,64.40,SBAN 010400Z 36002KT 9999 SCT012 BKN070 18/18 Q1018,M
